vendor_name,total_expenditure,tx_count,mp_count,constituency_count,district_count
ASSISTANT ENGINEER NAGAR GAYA,22293673.0,18,1,2,1
Nistha Enterprises,22289020.0,16,1,1,1
BSDEV INFRATECH INIDA PRIVATE LIMITED,22288000.0,28,1,1,1
J B ENTERPRISES,22205232.0,98,1,1,1
PUNA IRON INDUSTRIES,22170779.0,9,1,1,2
SURINDER TRADERS,22044525.0,56,1,1,1
janpad panchayt maheshawar,21975000.0,58,1,2,1
SUYASH VISHNU MITKAR,21953749.0,16,1,3,1
G AND D TRADERS,21884280.0,22,1,1,1
KUNAL TRADERS,21876511.0,62,1,3,3
PRITOM TRIBEDI,21685978.0,140,1,1,1
SIMRAN INDUSTRIES GROUP,21663000.0,8,1,1,1
GAURI ENTER PRISES,21659682.0,90,1,1,1
Asesar Singh Contractor,21601652.0,140,1,1,1
A F Construction op by Ismail,21577045.0,5,1,1,1
NAVKANJ ASSOCIATES,21493565.0,58,1,1,1
Raju Bhargav R,21467992.0,18,1,1,1
MS MADANPAL SINGH,21421349.0,40,1,1,1
KALLOOR ELECTRONICS AND LIGHTING PVT LTD,21198421.0,98,3,3,4
HIND CONTRACTOR,21193407.0,21,1,1,1
R R THULASI BUILDERS INDIA PRIVATE LIMITED,21097269.0,3,1,1,1
SUPTI ENTERPRISE,21080700.0,150,1,1,1
M CUBE INFRATECH PRIVATE LIMITED,21068170.0,36,2,2,1
sudiksa infra projects,20992975.0,42,1,1,1
ASHUTOSH HANUMANT BALKAVADE,20928641.0,22,1,1,1
SUCCESS ASSOCIATES,20915151.0,67,2,2,4
Sai Scientific,20910530.0,12,1,1,2
NEW HOPE CONSTRUCTION WORKS,20818446.0,34,1,1,1
ASSISTANT ENGINEER KARAKAT LAEO WD 02 BIKRAMGANJ ROHTAS,20814836.0,38,1,1,1
SANTOSH KUMAR MONDAL,20800000.0,65,1,2,1
Mr NARESH GANDHAMANENI,20797602.0,54,1,1,1
Roudrantak Infratech,20786350.0,1,1,1,1
FPLUS ENTERPRISES,20763295.0,37,1,1,3
AJIT KUMAR,20756200.0,230,3,4,3
SANWARIYA BOREWELLS,20604471.0,242,1,2,2
M S SRI MAHASHAKTHI ENTERPRISES,20578806.0,120,1,1,3
MAHENDRA ENTERPRISES,20575952.0,9,1,1,1
KARAM VIR SINGH CONTRACTOR,20529344.0,20,1,1,1
MANI CONSTRUCTION,20502750.0,38,1,1,1
B VEERESH,20479267.0,27,1,1,1
Keviu Miachieo,20400000.0,6,1,1,1
Ranjeet Kumar Verma Contractor,20396130.0,6,1,1,1
RM MP AGRO SATNA,20394571.0,74,1,1,2
ROKHI GHOSH,20382047.0,48,1,2,1
DIVYAANSH CONSTRUCTION COMPANY,20379385.0,21,1,1,1
RS Industries,20350000.0,69,1,1,4
RANJEET SINGH SINGH CONSTRUCTION,20347608.0,52,1,1,1
Super Agro,20275196.0,158,1,1,1
